"","x"
"1","A1BG"
"2","A2M"
"3","A4GALT"
"4","AAAS"
"5","AACS"
"6","AADAT"
"7","AAGAB"
"8","AAK1"
"9","AAMDC"
"10","AAMP"
"11","AAR2"
"12","AARD"
"13","AARS"
"14","AARS2"
"15","AARSD1"
"16","AASDH"
"17","AASDHPPT"
"18","AASS"
"19","AATF"
"20","AATK"
"21","ABAT"
"22","ABCA1"
"23","ABCA10"
"24","ABCA13"
"25","ABCA2"
"26","ABCA3"
"27","ABCA5"
"28","ABCA6"
"29","ABCA7"
"30","ABCA8"
"31","ABCA9"
"32","ABCB1"
"33","ABCB10"
"34","ABCB4"
"35","ABCB5"
"36","ABCB6"
"37","ABCB7"
"38","ABCB8"
"39","ABCB9"
"40","ABCC1"
"41","ABCC10"
"42","ABCC2"
"43","ABCC3"
"44","ABCC4"
"45","ABCC5"
"46","ABCC9"
"47","ABCD1"
"48","ABCD3"
"49","ABCD4"
"50","ABCE1"
"51","ABCF1"
"52","ABCF3"
"53","ABCG2"
"54","ABHD1"
"55","ABHD10"
"56","ABHD11"
"57","ABHD12"
"58","ABHD12B"
"59","ABHD13"
"60","ABHD14A"
"61","ABHD14A-ACY1"
"62","ABHD14B"
"63","ABHD15"
"64","ABHD16A"
"65","ABHD17A"
"66","ABHD17B"
"67","ABHD17C"
"68","ABHD18"
"69","ABHD2"
"70","ABHD3"
"71","ABHD4"
"72","ABHD5"
"73","ABHD6"
"74","ABHD8"
"75","ABI1"
"76","ABI2"
"77","ABI3BP"
"78","ABITRAM"
"79","ABL1"
"80","ABL2"
"81","ABLIM1"
"82","ABLIM3"
"83","ABR"
"84","ABRACL"
"85","ABRAXAS1"
"86","ABRAXAS2"
"87","ABT1"
"88","ABTB1"
"89","ABTB2"
"90","ACAA1"
"91","ACAA2"
"92","ACACA"
"93","ACACB"
"94","ACAD10"
"95","ACAD11"
"96","ACAD8"
"97","ACAD9"
"98","ACADM"
"99","ACADS"
"100","ACADSB"
"101","ACADVL"
"102","ACAP1"
"103","ACAP2"
"104","ACAP3"
"105","ACAT1"
"106","ACAT2"
"107","ACBD3"
"108","ACBD4"
"109","ACBD5"
"110","ACBD6"
"111","ACBD7"
"112","ACCS"
"113","ACD"
"114","ACE"
"115","ACER2"
"116","ACER3"
"117","ACHE"
"118","ACIN1"
"119","ACKR2"
"120","ACLY"
"121","ACO1"
"122","ACO2"
"123","ACOT1"
"124","ACOT11"
